                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.49433,                0.50163,                0.90739,                0.91632,                0.89333,                0.93314,                0.80926,                0.55297,                0.32899,                0.86922,             0.00015107,             0.00015107,             0.00015107
                     74,                0.48928,                0.49278,                0.90327,                0.93031,                0.88849,                0.93423,                0.81532,                 0.5439,                0.32488,                0.86601,             0.00014586,             0.00014586,             0.00014586
                     75,                0.49197,                0.50375,                0.90678,                0.93162,                0.87566,                0.93093,                0.81206,                0.54678,                0.32968,                0.86529,             0.00014065,             0.00014065,             0.00014065
                     76,                0.48938,                0.49562,                0.90518,                0.92605,                0.87479,                 0.9308,                0.81436,                0.54342,                0.32807,                0.86663,             0.00013544,             0.00013544,             0.00013544
                     77,                0.48577,                0.49063,                0.90508,                0.94019,                0.87684,                0.93408,                0.81618,                0.53917,                0.32804,                0.86554,             0.00013024,             0.00013024,             0.00013024
                     78,                0.47574,                0.49764,                0.90181,                0.94282,                0.88657,                0.93834,                0.81756,                0.54244,                0.32003,                0.86768,             0.00012503,             0.00012503,             0.00012503
                     79,                0.48302,                  0.483,                0.90376,                0.95491,                0.88881,                0.93721,                0.81625,                0.54178,                0.32428,                 0.8667,             0.00011982,             0.00011982,             0.00011982
                     80,                 0.4805,                0.48929,                0.90425,                0.94629,                0.89355,                0.93865,                0.81634,                 0.5401,                0.31805,                0.86748,             0.00011462,             0.00011462,             0.00011462
                     81,                0.48311,                0.48438,                  0.905,                 0.9567,                0.89353,                0.93908,                0.82168,                0.54533,                0.31385,                0.86894,             0.00010941,             0.00010941,             0.00010941
                     82,                0.47456,                0.47535,                0.90479,                0.93761,                 0.8876,                0.93765,                0.81888,                0.54334,                0.31458,                0.86642,              0.0001042,              0.0001042,              0.0001042
                     83,                0.48029,                0.47186,                0.90536,                0.93915,                0.88741,                0.93625,                0.81754,                 0.5452,                0.32162,                0.86874,             9.8993e-05,             9.8993e-05,             9.8993e-05
                     84,                0.47066,                0.45991,                0.89932,                0.97583,                0.86399,                0.93835,                0.82153,                0.54184,                0.31917,                 0.8666,             9.3786e-05,             9.3786e-05,             9.3786e-05
                     85,                0.47643,                0.46734,                0.90259,                0.94695,                0.88628,                0.93752,                0.81894,                0.54435,                0.32178,                0.86858,             8.8578e-05,             8.8578e-05,             8.8578e-05
                     86,                0.47052,                 0.4536,                0.89974,                0.95862,                0.87224,                0.93706,                0.81528,                0.54756,                0.31417,                0.87016,             8.3371e-05,             8.3371e-05,             8.3371e-05
                     87,                0.47421,                0.45006,                0.90025,                0.94624,                0.88524,                0.93799,                0.81837,                0.54441,                0.30616,                0.86906,             7.8164e-05,             7.8164e-05,             7.8164e-05
                     88,                0.47715,                0.46558,                0.90037,                0.95723,                0.88098,                0.93824,                0.81884,                0.54377,                0.31378,                0.87443,             7.2956e-05,             7.2956e-05,             7.2956e-05
                     89,                0.46297,                0.44636,                0.89932,                0.93372,                0.89095,                0.93664,                0.82174,                0.54108,                0.31137,                0.87228,             6.7749e-05,             6.7749e-05,             6.7749e-05
                     90,                0.47082,                0.45205,                0.89797,                0.94016,                0.89224,                0.93613,                0.81731,                0.53934,                0.31183,                0.86887,             6.2541e-05,             6.2541e-05,             6.2541e-05
                     91,                0.46049,                0.28447,                0.84924,                0.95251,                0.86437,                0.92994,                0.81363,                0.54567,                 0.3177,                0.87357,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     92,                 0.4584,                0.29004,                0.84975,                0.95084,                0.87321,                 0.9348,                0.81553,                0.54767,                0.31748,                0.87708,             5.2127e-05,             5.2127e-05,             5.2127e-05
                     93,                0.44787,                0.28212,                0.84934,                0.95498,                0.88681,                 0.9371,                0.81927,                0.54563,                 0.3168,                0.87661,             4.6919e-05,             4.6919e-05,             4.6919e-05
                     94,                0.45082,                0.28438,                0.84829,                0.95152,                0.88557,                0.93785,                0.81975,                0.54694,                0.31168,                0.87494,             4.1712e-05,             4.1712e-05,             4.1712e-05
                     95,                 0.4519,                0.28017,                0.84479,                0.95597,                0.89225,                0.93848,                0.81837,                0.54828,                0.30757,                0.87714,             3.6504e-05,             3.6504e-05,             3.6504e-05
                     96,                0.44701,                0.27899,                0.84479,                0.94814,                0.88995,                0.93834,                0.82185,                 0.5438,                0.30713,                0.87316,             3.1297e-05,             3.1297e-05,             3.1297e-05
                     97,                0.44735,                0.27342,                0.84946,                 0.9558,                0.87915,                0.93893,                0.82148,                 0.5419,                0.30725,                0.87424,              2.609e-05,              2.609e-05,              2.609e-05
                     98,                0.44349,                0.27152,                0.84358,                0.95504,                0.89035,                 0.9422,                0.82237,                0.54471,                 0.3082,                 0.8752,             2.0882e-05,             2.0882e-05,             2.0882e-05
                     99,                0.43773,                 0.2719,                0.84741,                0.94319,                0.89298,                0.94124,                0.82196,                 0.5426,                0.30733,                0.87329,             1.5675e-05,             1.5675e-05,             1.5675e-05
                    100,                0.44099,                0.26609,                 0.8444,                 0.9636,                0.87857,                0.94199,                0.82195,                 0.5414,                0.30629,                0.87327,             1.0467e-05,             1.0467e-05,             1.0467e-05
